project,file,line,resultStatus,durationMs,category,symptom,title,error
"chromium-public","tests/public-api-error.spec.ts","3","failed","5778","public content/layout expectation","6s timeout","public-api-error.spec.ts › CF-005 shows a user-facing fallback when a public page payload is malformed","Error: expect(locator).toBeVisible() failed Locator: getByText('Public pages') Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByText('Public pages') 4 | await page.goto('/introduction?__qaBroken=1') 5 | > 6 | await expect(page.getByText('Public pages')).toBeVisible() | ^ 7 | await expect(page.getByRole('heading', { name: 'This page could not be loaded.' })).toBeVisible() 8 | await expect(page.getByRole('button', { name: 'Retry' })).toBeVisible() 9 | }) at /work/tests/public-api-error.spec.ts:6:48"
"chromium-public","tests/public-blog-toc-active.spec.ts","3","failed","1188","public content/layout expectation","TOC/layout expectation mismatch","public-blog-toc-active.spec.ts › blog detail TOC updates its active heading as the reader moves deeper into the article","Error: expect(received).toBeGreaterThan(expected) Expected: > 1 Received: 0 9 | 10 | const links = toc.getByRole('link') > 11 | expect(await links.count()).toBeGreaterThan(1) | ^ 12 | 13 | const firstLink = links.first() 14 | const secondLink = links.nth(1) at /work/tests/public-blog-toc-active.spec.ts:11:31"
"chromium-public","tests/public-detail-pages.spec.ts","9","failed","1220","public content/layout expectation","ambiguous main h1 selector after h1 body headings","public-detail-pages.spec.ts › work detail page renders seeded detail content and stable related cards","Error: expect(locator).toHaveText(expected) failed Locator: locator('main h1') Expected: ""affadfad"" Error: strict mode violation: locator('main h1') resolved to 17 elements: 1) <h1 class=""mb-4 text-3xl font-heading font-bold leading-tight text-foreground text-balance md:text-4xl"">affadfad</h1> aka getByRole('heading', { name: 'affadfad' }) 2) <h1>1</h1> aka getByRole('heading', { name: '1', exact: true }) 3) <h1>2</h1> aka getByRole('heading', { name: '2', exact: true }) 4) <h1>3</h1> aka getByRole('heading', { name: '3', exact: true }) 5) <h1>4</h1> aka getByRole('heading', { name: '4', exact: true }) 6) <h1>5</h1> aka getByRole('heading', { name: '5', exact: true }) 7) <h1>6</h1> aka getByRole('heading', { name: '6', exact: true }) 8) <h1>7</h1> aka getByRole('heading', { name: '7' }) 9) <h1>8</h1> aka getByRole('heading', { name: '8' }) 10) <h1>9</h1> aka getByRole('heading', { name: '9' }) ... Call log: - Expect ""toHaveText"" with timeout 5000ms - waiting for locator('main h1') 16 | 17 | await page.goto(`/works/${work.slug}`) > 18 | await expect(page.locator('main h1')).toHaveText(work.title) | ^ 19 | 20 | const relatedWorkCards = page.getByTestId('related-work-card') 21 | if ((await relatedWorkCards.count()) === 0) { at /work/tests/public-detail-pages.spec.ts:18:41"
"chromium-public","tests/public-resume-empty-state.spec.ts","3","failed","5705","public content/layout expectation","6s timeout","public-resume-empty-state.spec.ts › PF-072 shows the no-resume message when no resume PDF is configured","Error: expect(locator).toHaveCount(expected) failed Locator: getByRole('link', { name: /Download PDF/i }) Expected: 0 Received: 1 Timeout: 5000ms Call log: - Expect ""toHaveCount"" with timeout 5000ms - waiting for getByRole('link', { name: /Download PDF/i }) 9 × locator resolved to 1 element - unexpected value ""1"" 6 | 7 | await expect(page.getByRole('heading', { name: 'Resume', exact: true })).toBeVisible() > 8 | await expect(page.getByRole('link', { name: /Download PDF/i })).toHaveCount(0) | ^ 9 | await expect(page.locator('[data-testid=""resume-shell""]')).toContainText('Resume unavailable') 10 | await expect(page.locator('[data-testid=""resume-shell""]')).toContainText('No resume has been published yet.') 11 | }) at /work/tests/public-resume-empty-state.spec.ts:8:67"
"chromium-public","tests/ui-improvement-static-public-pages.spec.ts","27","failed","6008","public content/layout expectation","6s timeout","ui-improvement-static-public-pages.spec.ts › static public pages keep a clean unframed header pattern","Error: expect(locator).toHaveText(expected) failed Locator: locator('main header').first().locator('h1').first() Expected: ""Introduction"" Received: ""Introductiondsffds"" Timeout: 5000ms Call log: - Expect ""toHaveText"" with timeout 5000ms - waiting for locator('main header').first().locator('h1').first() 9 × locator resolved to <h1 class=""text-3xl font-heading font-bold text-foreground md:text-4xl"">Introductiondsffds</h1> - unexpected value ""Introductiondsffds"" 37 | const header = page.locator('main header').first() 38 | await expect(header).toBeVisible() > 39 | await expect(header.locator('h1').first()).toHaveText(item.heading) | ^ 40 | await expect(header.locator('p').first()).toHaveCount(0) 41 | 42 | const metrics = await header.evaluate((element) => { at /work/tests/ui-improvement-static-public-pages.spec.ts:39:48"
"chromium-authenticated","tests/admin-ai-batch-cancel.spec.ts","18","timedOut","32289","admin/editor/authenticated UI","admin row not reachable","admin-ai-batch-cancel.spec.ts › admin can cancel a running blog AI batch job from the batch panel","Test timeout of 30000ms exceeded. Error: locator.click: Test timeout of 30000ms exceeded. Call log: - waiting for getByTestId('admin-blog-row').first().getByRole('checkbox') 134 | await page.goto('/admin/blog') 135 | const rows = page.getByTestId('admin-blog-row') > 136 | await rows.nth(0).getByRole('checkbox').click() | ^ 137 | await rows.nth(1).getByRole('checkbox').click() 138 | await page.getByRole('button', { name: 'Batch AI Fix' }).click() 139 | at /work/tests/admin-ai-batch-cancel.spec.ts:136:43"
"chromium-authenticated","tests/admin-ai-batch-cancel.spec.ts","151","timedOut","32428","admin/editor/authenticated UI","admin row not reachable","admin-ai-batch-cancel.spec.ts › admin can cancel queued blog AI batch jobs in bulk from the batch panel","Test timeout of 30000ms exceeded. Error: locator.click: Test timeout of 30000ms exceeded. Call log: - waiting for getByTestId('admin-blog-row').first().getByRole('checkbox') 287 | await page.goto('/admin/blog') 288 | const rows = page.getByTestId('admin-blog-row') > 289 | await rows.nth(0).getByRole('checkbox').click() | ^ 290 | await rows.nth(1).getByRole('checkbox').click() 291 | await page.getByRole('button', { name: 'Batch AI Fix' }).click() 292 | at /work/tests/admin-ai-batch-cancel.spec.ts:289:43"
"chromium-authenticated","tests/admin-ai-batch-jobs.spec.ts","5","failed","6705","admin/editor/authenticated UI","admin row not reachable","admin-ai-batch-jobs.spec.ts › admin can create, observe, and apply a blog AI batch job without blocking the workspace","Error: expect(locator).toBeVisible() failed Locator: getByRole('heading', { name: 'Blog Posts' }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('heading', { name: 'Blog Posts' }) 149 | 150 | await page.goto('/admin/blog') > 151 | await expect(page.getByRole('heading', { name: 'Blog Posts' })).toBeVisible() | ^ 152 | 153 | const rows = page.getByTestId('admin-blog-row') 154 | const count = await rows.count() at /work/tests/admin-ai-batch-jobs.spec.ts:151:67"
"chromium-authenticated","tests/admin-blog-ai-dialog.spec.ts","6","timedOut","33107","admin/editor/authenticated UI","editor title field not reachable","admin-blog-ai-dialog.spec.ts › blog AI fix dialog loads runtime config, applies a fixed draft, and keeps editing local","Test timeout of 30000ms exceeded. Error: locator.fill: Test timeout of 30000ms exceeded. Call log: - waiting for getByLabel('Title') 39 | 40 | await page.goto('/admin/blog/new') > 41 | await page.getByLabel('Title').fill(`AI Fix Coverage ${Date.now()}`) | ^ 42 | await page.locator('form .tiptap.ProseMirror').first().click() 43 | await page.keyboard.type('rough draft before ai fix') 44 | at /work/tests/admin-blog-ai-dialog.spec.ts:41:34"
"chromium-authenticated","tests/admin-blog-edit.spec.ts","9","failed","636","admin/editor/authenticated UI","admin API 401 fixture/setup","admin-blog-edit.spec.ts › admin can edit an existing blog post with mixed special input","Error: Failed to create blog fixture: 401 at helpers/content-fixtures.ts:70 68 | 69 | if (!response.ok()) { > 70 | throw new Error(`Failed to create blog fixture: ${response.status()} ${await response.text()}`) | ^ 71 | } 72 | 73 | const payload = await response.json() as { id: string; slug: string } at createBlogFixture (/work/tests/helpers/content-fixtures.ts:70:11) at /work/tests/admin-blog-edit.spec.ts:12:16"
"chromium-authenticated","tests/admin-blog-edit.spec.ts","51","failed","548","admin notion view","admin API 401 fixture/setup","admin-blog-edit.spec.ts › blog notion view supports list selection and content autosave","Error: Failed to create blog fixture: 401 at helpers/content-fixtures.ts:70 68 | 69 | if (!response.ok()) { > 70 | throw new Error(`Failed to create blog fixture: ${response.status()} ${await response.text()}`) | ^ 71 | } 72 | 73 | const payload = await response.json() as { id: string; slug: string } at createBlogFixture (/work/tests/helpers/content-fixtures.ts:70:11) at /work/tests/admin-blog-edit.spec.ts:53:21"
"chromium-authenticated","tests/admin-blog-image-upload.spec.ts","7","failed","5903","admin/editor/authenticated UI","redirected to login","admin-blog-image-upload.spec.ts › blog editor uploads an inline image and public blog renders it","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 9 | 10 | await page.goto('/admin/blog/new') > 11 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 12 | 13 | await page.getByLabel('Title').fill(title) 14 | await expect(page.getByText(""New posts go live immediately. Toggle 'Published' off to save as draft."")).toBeVisible() at /work/tests/admin-blog-image-upload.spec.ts:11:22"
"chromium-authenticated","tests/admin-blog-image-validation.spec.ts","7","failed","6053","admin/editor/authenticated UI","redirected to login","admin-blog-image-validation.spec.ts › blog editor keeps editing state when inline image upload fails","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 15 | 16 | await page.goto('/admin/blog/new') > 17 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 18 | 19 | await page.getByLabel('Title').fill(`이미지 실패 블로그 ${Date.now()}`) 20 | at /work/tests/admin-blog-image-validation.spec.ts:17:22"
"chromium-authenticated","tests/admin-blog-publish.spec.ts","7","failed","6239","admin/editor/authenticated UI","redirected to login","admin-blog-publish.spec.ts › admin can create and publish a blog post that appears on public blog page","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 10 | await page.goto('/admin/blog/new') 11 | > 12 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 13 | await expect(page.getByText(""New posts go live immediately. Toggle 'Published' off to save as draft."")).toBeVisible() 14 | await page.getByLabel('Title').fill(title) 15 | await page.getByLabel('Tags (comma separated)').fill('playwright, regression') at /work/tests/admin-blog-publish.spec.ts:12:22"
"chromium-authenticated","tests/admin-blog-publish.spec.ts","42","timedOut","32703","admin/editor/authenticated UI","editor title field not reachable","admin-blog-publish.spec.ts › admin can keep a blog post as draft and publish it later","Test timeout of 30000ms exceeded. Error: locator.fill: Test timeout of 30000ms exceeded. Call log: - waiting for getByLabel('Title') 44 | 45 | await page.goto('/admin/blog/new') > 46 | await page.getByLabel('Title').fill(title) | ^ 47 | await page.getByLabel('Tags (comma separated)').fill('playwright, draft') 48 | await page.getByRole('checkbox', { name: 'Published' }).uncheck() 49 | at /work/tests/admin-blog-publish.spec.ts:46:34"
"chromium-authenticated","tests/admin-blog-publish.spec.ts","91","timedOut","33523","admin/editor/authenticated UI","editor title field not reachable","admin-blog-publish.spec.ts › admin can toggle a published blog post back to draft and publish it again","Test timeout of 30000ms exceeded. Error: locator.fill: Test timeout of 30000ms exceeded. Call log: - waiting for getByLabel('Title') 93 | 94 | await page.goto('/admin/blog/new') > 95 | await page.getByLabel('Title').fill(title) | ^ 96 | await page.getByLabel('Tags (comma separated)').fill('playwright, toggle') 97 | 98 | const editor = page.locator('.tiptap.ProseMirror').first() at /work/tests/admin-blog-publish.spec.ts:95:34"
"chromium-authenticated","tests/admin-blog-validation.spec.ts","5","failed","6111","admin/editor/authenticated UI","redirected to login","admin-blog-validation.spec.ts › blog editor requires a title before it enables create","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 5 | test('blog editor requires a title before it enables create', async ({ page }) => { 6 | await page.goto('/admin/blog/new') > 7 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 8 | 9 | const titleInput = page.getByLabel('Title') 10 | const saveButton = page.getByRole('button', { name: 'Create Post' }) at /work/tests/admin-blog-validation.spec.ts:7:22"
"chromium-authenticated","tests/admin-blog-validation.spec.ts","20","failed","5993","admin/editor/authenticated UI","redirected to login","admin-blog-validation.spec.ts › blog editor clamps excerpt length to preview-safe limits","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 20 | test('blog editor clamps excerpt length to preview-safe limits', async ({ page }) => { 21 | await page.goto('/admin/blog/new') > 22 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 23 | 24 | const longExcerpt = 'x'.repeat(260) 25 | const excerpt = page.getByLabel('Excerpt') at /work/tests/admin-blog-validation.spec.ts:22:22"
"chromium-authenticated","tests/admin-blog-validation.spec.ts","33","failed","5910","admin/editor/authenticated UI","redirected to login","admin-blog-validation.spec.ts › blog editor accepts mixed special-character and Korean input","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 35 | 36 | await page.goto('/admin/blog/new') > 37 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 38 | 39 | await page.getByLabel('Title').fill(title) 40 | await page.getByLabel('Tags (comma separated)').fill('qa, 한글, !!!, edge-case') at /work/tests/admin-blog-validation.spec.ts:37:22"
"chromium-authenticated","tests/admin-blog-validation.spec.ts","54","failed","5942","admin/editor/authenticated UI","redirected to login","admin-blog-validation.spec.ts › blog editor shows backend validation feedback without leaving the editor","Error: expect(page).toHaveURL(expected) failed Expected pattern: /\/admin\/blog\/new/ Received string: ""http://woong-prod-full-e2e-nginx-1777130558/login"" Timeout: 5000ms Call log: - Expect ""toHaveURL"" with timeout 5000ms 9 × unexpected value ""http://woong-prod-full-e2e-nginx-1777130558/login"" 67 | 68 | await page.goto('/admin/blog/new') > 69 | await expect(page).toHaveURL(/\/admin\/blog\/new/) | ^ 70 | 71 | await page.getByLabel('Title').fill(`Validation Failure ${Date.now()}`) 72 | await page.getByLabel('Tags (comma separated)').fill('qa, validation') at /work/tests/admin-blog-validation.spec.ts:69:22"
"chromium-authenticated","tests/admin-dashboard-error-state.spec.ts","5","failed","5801","admin/editor/authenticated UI","6s timeout","admin-dashboard-error-state.spec.ts › AF-013 shows the dashboard error panel when stats loading fails","Error: expect(locator).toBeVisible() failed Locator: getByRole('heading', { name: 'Dashboard', exact: true }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('heading', { name: 'Dashboard', exact: true }) 6 | await page.goto('/admin/dashboard?__qaSummaryFail=1') 7 | > 8 | await expect(page.getByRole('heading', { name: 'Dashboard', exact: true })).toBeVisible() | ^ 9 | await expect(page.getByRole('heading', { name: 'Dashboard data is unavailable' })).toBeVisible() 10 | await expect(page.getByText('The admin dashboard could not be loaded. Please refresh or try again after the backend is healthy.')).toBeVisible() 11 | await expect(page.getByText('Total Views')).toHaveCount(0) at /work/tests/admin-dashboard-error-state.spec.ts:8:79"
"chromium-authenticated","tests/admin-dashboard-error-state.spec.ts","16","failed","5867","admin/editor/authenticated UI","6s timeout","admin-dashboard-error-state.spec.ts › AF-013 shows the dashboard collections fallback when work and blog lists fail","Error: expect(locator).toBeVisible() failed Locator: getByRole('heading', { name: 'Dashboard', exact: true }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('heading', { name: 'Dashboard', exact: true }) 17 | await page.goto('/admin/dashboard?__qaCollectionsFail=1') 18 | > 19 | await expect(page.getByRole('heading', { name: 'Dashboard', exact: true })).toBeVisible() | ^ 20 | await expect(page.getByText('Total Views')).toBeVisible() 21 | await expect(page.getByText('Total Works')).toBeVisible() 22 | await expect(page.getByText('Total Blog Posts')).toBeVisible() at /work/tests/admin-dashboard-error-state.spec.ts:19:79"
"chromium-authenticated","tests/admin-dashboard.spec.ts","6","failed","5853","admin/editor/authenticated UI","6s timeout","admin-dashboard.spec.ts › admin dashboard shows summary cards with numeric counts","Error: expect(locator).toBeVisible() failed Locator: getByRole('heading', { name: 'Dashboard' }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('heading', { name: 'Dashboard' }) 7 | await page.goto('/admin/dashboard') 8 | > 9 | await expect(page.getByRole('heading', { name: 'Dashboard' })).toBeVisible() | ^ 10 | await expect(page.getByText('Total Views')).toBeVisible() 11 | await expect(page.getByText('Total Works')).toBeVisible() 12 | await expect(page.getByText('Total Blog Posts')).toBeVisible() at /work/tests/admin-dashboard.spec.ts:9:66"
"chromium-authenticated","tests/admin-dashboard.spec.ts","26","failed","5923","admin/editor/authenticated UI","6s timeout","admin-dashboard.spec.ts › admin dashboard cards open edit pages directly and expose pagination controls","Error: expect(locator).toBeVisible() failed Locator: getByRole('heading', { name: 'Works' }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('heading', { name: 'Works' }) 27 | await page.goto('/admin/dashboard') 28 | > 29 | await expect(page.getByRole('heading', { name: 'Works' })).toBeVisible() | ^ 30 | await expect(page.getByRole('heading', { name: 'Blog Posts' })).toBeVisible() 31 | await expect(page.getByText('이전').first()).toBeVisible() 32 | await expect(page.getByText('다음').first()).toBeVisible() at /work/tests/admin-dashboard.spec.ts:29:62"
"chromium-authenticated","tests/admin-dashboard.spec.ts","51","failed","5915","admin/editor/authenticated UI","6s timeout","admin-dashboard.spec.ts › admin sidebar exposes a direct public site shortcut","Error: expect(locator).toBeVisible() failed Locator: getByRole('link', { name: 'View Site' }) Expected: visible Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toBeVisible"" with timeout 5000ms - waiting for getByRole('link', { name: 'View Site' }) 53 | 54 | const shortcut = page.getByRole('link', { name: 'View Site' }) > 55 | await expect(shortcut).toBeVisible() | ^ 56 | await expect(shortcut).toHaveAttribute('href', '/') 57 | await expect(shortcut).toHaveAttribute('target', '_blank') 58 | }) at /work/tests/admin-dashboard.spec.ts:55:26"
"chromium-authenticated","tests/admin-dashboard.spec.ts","60","failed","5892","admin notion view","6s timeout","admin-dashboard.spec.ts › admin dashboard quick navigation links point to the site, members, and notion workspace","Error: expect(locator).toHaveAttribute(expected) failed Locator: locator('main').getByRole('link', { name: 'Open Site' }) Expected: ""/"" Timeout: 5000ms Error: element(s) not found Call log: - Expect ""toHaveAttribute"" with timeout 5000ms - waiting for locator('main').getByRole('link', { name: 'Open Site' }) 65 | const notionLink = page.locator('main').getByRole('link', { name: 'Blog Notion View' }) 66 | > 67 | await expect(openSiteLink).toHaveAttribute('href', '/') | ^ 68 | await expect(membersLink).toHaveAttribute('href', '/admin/members') 69 | await expect(notionLink).toHaveAttribute('href', '/admin/blog/notion') 70 | }) at /work/tests/admin-dashboard.spec.ts:67:30"
